city,mayor_name,CO2_per_cap,plus_minus,conservatism,supports_paris,mayor_political_party
Columbus,Andrew Ginther,19.8,8.5,-0.26,TRUE,D
Baltimore,Bernard Young,20.2,9.1,-0.66,TRUE,D
New York,Bill de Blasio,17.1,5.5,-0.66,TRUE,D
Buffalo,Byron Brown,19.8,10.0,-0.66,TRUE,D
Las Vegas,Carolyn Goodman,12.3,4.8,-0.03,FALSE,I
Sacramento,Darrell Steinberg,14.2,4.9,-0.33,TRUE,D
El Paso,Dee Margo,14.6,8.5,-0.07,FALSE,R
Tulsa,Dewey F. Bartlett Jr.,22.6,10.3,0.07,FALSE,R
Los Angeles,Eric Garcetti,14.6,3.2,-0.49,TRUE,D
Dallas,Eric Johnson,16.5,3.4,-0.23,TRUE,D
Miami,Francis Suarez,16.0,4.4,-0.43,TRUE,R
Cleveland,Frank Jackson,24.7,9.0,-0.42,TRUE,D
Louisville,Greg Fischer,21.5,8.6,-0.1,TRUE,D
Minneapolis,Jacob Frey,21.8,6.4,-0.77,TRUE,D
Tampa,Jane Castor,15.3,6.3,-0.16,TRUE,D
Omaha,Jean Stothert,19.9,8.8,0.08,FALSE,R
Wichita,Jeff Longwell,21.3,11.1,-0.03,FALSE,R
Seattle,Jenny Durkan,17.3,5.6,-0.87,TRUE,D
Philadelphia,Jim Kenney,19.5,5.4,-0.52,TRUE,D
Memphis,Jim Strickland,20.8,9.5,-0.33,TRUE,D
Corpus Christi,Joe McComb,16.6,10.2,-0.01,FALSE,R
Nashville,John Cooper,17.6,9.6,-0.02,TRUE,D
Cincinnati,John Cranley,22.6,8.9,-0.22,TRUE,D
Colorado Springs,John Suthers,17.8,9.9,0.23,FALSE,R
Indianapolis,Joseph Hogsett,20.6,5.7,-0.12,TRUE,D
Phoenix,Kate Gallego,15.9,4.6,-0.04,TRUE,D
Atlanta,Keisha Bottoms,18.7,5.0,-0.48,TRUE,D
San Diego,Kevin Faulconer,14.5,4.4,-0.36,TRUE,R
New Orleans,LaToya Cantrell,26.1,13.0,-0.51,TRUE,D
Fresno,Lee Brand,13.3,5.5,0.0,FALSE,R
Jacksonville,Lenny Curry,17.0,6.3,0.18,FALSE,R
Oakland,Libby Schaaf,19.3,10.6,-0.87,TRUE,D
Chicago,Lori Lightfoot,21.1,5.1,-0.63,TRUE,D
St. Louis,Lyda Krewson,24.1,8.2,-0.52,TRUE,D
Boston,Martin J Walsh,19.0,8.4,-0.81,TRUE,D
Denver,Michael Hancock,19.4,6.1,-0.48,TRUE,D
Oklahoma City,Mick Cornett,20.8,8.9,0.26,FALSE,R
Detroit,Mike Duggan,25.5,5.6,-0.73,TRUE,D
Washington D.C.,Muriel Bowser,19.0,4.5,-0.93,TRUE,D
Raleigh,Nancy McFarlane,14.7,7.1,-0.29,TRUE,I
Kansas City,Quinton Lucas,22.6,7.4,-0.38,TRUE,D
Tucson,Regina Romero,17.1,7.6,-0.23,TRUE,D
San Antonio,Ron Nirenberg,15.2,4.9,-0.01,TRUE,I
San Jose,Sam Liccardo,17.5,4.9,-0.32,TRUE,D
Austin,Steve Adler,15.0,5.1,-0.53,TRUE,D
Houston,Sylvester Turner,14.6,4.0,-0.17,TRUE,D
Portland,Ted Wheeler,16.7,8.0,-0.59,TRUE,D
Albuquerque,Tim Keller,17.0,9.0,-0.23,TRUE,D
Milwaukee,Tom Barrett,20.4,8.9,-0.26,TRUE,D
Charlotte,Vi Lyles,14.5,7.5,-0.17,TRUE,D
Toledo,Wade Kapszukiewicz,22.8,13.5,-0.17,TRUE,D
Pittsburgh,William Peduto,24.0,10.4,-0.49,TRUE,D