City,Conservatism
"Mesa, AZ",0.41
"Oklahoma City, OK",0.26
"Virginia Beach, VA",0.25
"Colorado Springs, CO",0.23
"Jacksonville, FL",0.18
"Arlington, TX",0.16
"Anaheim, CA",0.15
"Omaha, NE",0.08
"Tulsa, OK",0.07
"Aurora, CO",0.03
"Anchorage, AK",0.01
"Fort Worth, TX",0
"Fresno, CA",0
"Corpus Christi, TX",-0.01
"San Antonio, TX",-0.01
"Nashville, TN",-0.02
"Wichita, KS",-0.03
"Las Vegas, NV",-0.03
"Phoenix, AZ",-0.04
"Lexington, KY",-0.04
"Riverside, CA",-0.07
"El Paso, TX",-0.07
"Louisville, KY",-0.1
"Indianapolis, IN",-0.12
"Tampa, FL",-0.16
"Charlotte, NC",-0.17
"Toledo, OH",-0.17
"Houston, TX",-0.17
"Santa Ana, CA",-0.19
"Cincinnati, OH",-0.22
"Tucson, AZ",-0.23
"Albuquerque, NM",-0.23
"Dallas, TX",-0.23
"Columbus, OH",-0.26
"Milwaukee, WI",-0.26
"Long Beach, CA",-0.27
"Raleigh, NC",-0.29
"San Jose, CA",-0.32
"Sacramento, CA",-0.33
"Memphis, TN",-0.33
"San Diego, CA",-0.36
"Honolulu, HI",-0.37
"Kansas City, MO",-0.38
"Cleveland, OH",-0.42
"Miami, FL",-0.43
"Atlanta, GA",-0.48
"Newark, NJ",-0.48
"Denver, CO",-0.48
"Pittrburgh, PA",-0.49
"Los Angeles, CA",-0.49
"New Orleans, LA",-0.51
"Philadelphia, PA",-0.52
"St. Louis, MO",-0.52
"Austin, TX",-0.53
"St. Paul, MN",-0.57
"Portland, OR",-0.59
"Chicago, IL",-0.63
"Baltimore, MD",-0.66
"Buffalo, NY",-0.66
"New York, NY",-0.66
"Detroit, MI",-0.73
"Minneapolis, MN",-0.77
"Boston, MA",-0.81
"Oakland, CA",-0.87
"Seattle, WA",-0.87
"Washington, DC",-0.93
"San Francisco, CA",-1